%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
36564000000,3624,36553000000,world,-0.0045322581941,-0.0101459281714,1.91894880697,-0.00026697709045,0.000134383543467,0.745979589474,0.665968740071
36564000000,3625,36563000000,world,-0.00449523828642,-0.0101672274565,1.92146817847,-0.000259283633502,0.000127068689676,0.745986194656,0.665961345731
36607000000,3626,36573000000,world,-0.00445841162537,-0.0101880648319,1.9238632888,-0.000251676403804,0.00011986351506,0.745992581938,0.665954195111
36608000000,3627,36583000000,world,-0.00442177764973,-0.0102084553622,1.92614014699,-0.000244176999046,0.000112785912736,0.745998758507,0.665947280168
36608000000,3628,36593000000,world,-0.00438533572319,-0.0102284141969,1.92830446992,-0.000236804268737,0.000105851366855,0.746004731316,0.665940593126
36608000000,3629,36603000000,world,-0.0043490851447,-0.0102479564997,1.93036169659,-0.000229574501198,9.90731238716e-05,0.74601050709,0.665934126466
36613000000,3630,36613000000,world,-0.00431302515809,-0.0102670973838,1.93231700188,-0.000222501606444,9.24623553302e-05,0.746016092331,0.665927872917
36623000000,3631,36623000000,world,-0.00427715496085,-0.0102858518545,1.93417530949,-0.000215597284797,8.60283075668e-05,0.746021493328,0.665921825449
36663000000,3632,36633000000,world,-0.00424147371218,-0.0103042347577,1.93594130429,-0.000208871216391,7.97784744093e-05,0.746026716164,0.665915977266
36663000000,3633,36643000000,world,-0.00420598054027,-0.0103222607346,1.93761944395,-0.00020233123078,7.37187489433e-05,0.74603176672,0.665910321795
36663000000,3634,36653000000,world,-0.0041706745489,-0.010339944182,1.93921397017,-0.000195983464023,6.78535601109e-05,0.746036650684,0.66590485268
36705000000,3635,36663000000,world,-0.00413555482336,-0.0103572992178,1.94072891918,-0.00018983251257,6.21860101264e-05,0.746041373557,0.665899563777
36706000000,3636,36673000000,world,-0.00410062043581,-0.0103743396513,1.94216813178,-0.000183881575032,5.67180020128e-05,0.746045940657,0.665894449143
36706000000,3637,36683000000,world,-0.00406587044992,-0.0103910789587,1.94353526292,-0.000178132602484,5.14503718101e-05,0.746050357128,0.665889503034
36706000000,3638,36693000000,world,-0.00403130392513,-0.010407530262,1.94483379069,-0.000172586426416,4.63830001679e-05,0.746054627944,0.665884719892
36706000000,3639,36703000000,world,-0.00399691992029,-0.010423706312,1.94606702502,-0.000167242876751,4.15149155432e-05,0.746058757914,0.665880094346
36748000000,3640,36713000000,world,-0.00396271749686,-0.0104396194756,1.94723811583,-0.000162100896284,3.68443961767e-05,0.746062751688,0.665875621201
36748000000,3641,36723000000,world,-0.0039286957217,-0.0104552817249,1.94835006084,-0.000157158654843,3.23690703257e-05,0.746066613764,0.665871295432
36748000000,3642,36733000000,world,-0.00389485366942,-0.0104707046304,1.94940571293,-0.000152413635022,2.80859924425e-05,0.746070348489,0.665867112183
36748000000,3643,36743000000,world,-0.00386119042443,-0.0104858993566,1.95040778727,-0.000147862726743,2.39917233747e-05,0.746073960068,0.665863066755
